,1k,10k,20k,30k,40k,50k,60k,70k,80k,90k,100k
Bubble Sort,44445062,804182172,2286084785,5416292156,9169977670,14336743973,20465800634,27930861484,36506070910,45689399519,57006933219
Mergesort,2269964,16383050,28293551,26817313,19670771,22384866,27297009,34082919,40824905,50633620,67904291
